step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.0015000232406953674,1.0,0.18320459383745147,0.0418555051986137
2,0.1,0.003000025628393825,1.0,0.18321266740084927,0.0418555051986137
3,0.15000000000000002,0.0045000216782281515,1.0,0.18322025860966504,0.0418555051986137
4,0.2,0.006000025338642505,1.0,0.18322289850804124,0.0418555051986137
5,0.25,0.007500030326364726,1.0,0.18322421696349026,0.0418555051986137
6,0.30000000000000004,0.009000035783406633,1.0,0.18322527318408846,0.0418555051986137
7,0.35000000000000003,0.01050004147246003,1.0,0.18322577006465005,0.0418555051986137
8,0.4,0.012000047256569005,1.0,0.18322606502767633,0.0418555051986137
9,0.45,0.013500053163557268,1.0,0.18322625133901035,0.0418555051986137
10,0.5,0.015000058897071787,1.0,0.1832269517238728,0.0418555051986137
11,0.55,0.016500064384130854,1.0,0.183229914618743,0.0418555051986137
12,0.6000000000000001,0.018000069674579636,1.0,0.1832334567906273,0.0418555051986137
13,0.65,0.019500074365056602,1.0,0.18323675906685863,0.0418555051986137
14,0.7000000000000001,0.02100008005820232,1.0,0.18323686631914482,0.0418555051986137
15,0.75,0.022500084906011894,1.0,0.18323946995753992,0.0418555051986137
16,0.8,0.024000089547776014,1.0,0.18324227905884002,0.0418555051986137
17,0.8500000000000001,0.02550009396968653,1.0,0.18324530665671787,0.0418555051986137
18,0.9,0.02700009949688262,1.0,0.18324535467129205,0.0418555051986137
19,0.9500000000000001,0.02850010360343404,1.0,0.18324861715460486,0.0418555051986137
20,1.0,0.03000010580681143,1.0,0.18325668896228098,0.0418555051986137
