step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.001500024660906559,1.0,0.17190470855128195,0.04025593175153293
2,0.1,0.00300002456223051,1.0,0.17191401036365128,0.04025593175153293
3,0.15000000000000002,0.004500020987504896,1.0,0.17192166395052208,0.04025593175153293
4,0.2,0.006000024591816915,1.0,0.171924282146118,0.04025593175153293
5,0.25,0.0075000294306643706,1.0,0.1719256369459941,0.04025593175153293
6,0.30000000000000004,0.00900003472607633,1.0,0.17192671930123027,0.04025593175153293
7,0.35000000000000003,0.010500040248281332,1.0,0.17192724732537415,0.04025593175153293
8,0.4,0.012000045864046049,1.0,0.1719275583324717,0.04025593175153293
9,0.45,0.01350005159692488,1.0,0.17192775431173782,0.04025593175153293
10,0.5,0.015000057249530477,1.0,0.1719278849569389,0.04025593175153293
11,0.55,0.016500062857148518,1.0,0.17192867382370142,0.04025593175153293
12,0.6000000000000001,0.018000068173218912,1.0,0.17193203458316578,0.04025593175153293
13,0.65,0.01950007333698458,1.0,0.17193447830908928,0.04025593175153293
14,0.7000000000000001,0.021000078370969972,1.0,0.1719369370530609,0.04025593175153293
15,0.75,0.022500083208889902,1.0,0.17193959197166792,0.04025593175153293
16,0.8,0.02400008875280015,1.0,0.17193965623123078,0.04025593175153293
17,0.8500000000000001,0.025500093345909528,1.0,0.171942534721752,0.04025593175153293
18,0.9,0.027000097731627266,1.0,0.17194566593970304,0.04025593175153293
19,0.9500000000000001,0.028500103157033357,1.0,0.17194570537920956,0.04025593175153293
20,1.0,0.030000107238845164,1.0,0.17194910193076773,0.04025593175153293
