step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.0015001247171941583,1.0,0.14022553241875457,0.029858704345507865
2,0.1,0.0030000333207770664,1.0,0.14026648452128346,0.029858704345507865
3,0.15000000000000002,0.004500025508540691,1.0,0.14027576698239452,0.029858704345507865
4,0.2,0.0060000249391435456,1.0,0.14028047838756988,0.029858704345507865
5,0.25,0.007500027990567146,1.0,0.14028270585659497,0.029858704345507865
6,0.30000000000000004,0.009000032202110007,1.0,0.1402839291644687,0.029858704345507865
7,0.35000000000000003,0.010500036876062041,1.0,0.14028466795530348,0.029858704345507865
8,0.4,0.012000042144056927,1.0,0.1402851462856421,0.029858704345507865
9,0.45,0.013500046981889295,1.0,0.14028547173566794,0.029858704345507865
10,0.5,0.01500005194986375,1.0,0.14028570348837852,0.029858704345507865
11,0.55,0.01650005670650183,1.0,0.14028681302539509,0.029858704345507865
12,0.6000000000000001,0.01800006179180133,1.0,0.140286985933392,0.029858704345507865
13,0.65,0.019500066892864022,1.0,0.14028711509117794,0.029858704345507865
14,0.7000000000000001,0.021000072038298533,1.0,0.14028721336647998,0.029858704345507865
15,0.75,0.022500077147474942,1.0,0.14028729116724756,0.029858704345507865
16,0.8,0.024000082264139567,1.0,0.14028735340812132,0.029858704345507865
17,0.8500000000000001,0.02550008738601274,1.0,0.14028740393025144,0.029858704345507865
18,0.9,0.027000092511547856,1.0,0.14028744546350733,0.029858704345507865
19,0.9500000000000001,0.028500097639716497,1.0,0.1402874798532285,0.029858704345507865
20,1.0,0.03000010276981997,1.0,0.14028750856191965,0.029858704345507865
