step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.0015000539713061107,1.0,0.16036425992705572,0.034924020261263664
2,0.1,0.00300003102758323,1.0,0.16038420963929853,0.034924020261263664
3,0.15000000000000002,0.004500023281423172,1.0,0.16039336441254523,0.034924020261263664
4,0.2,0.006000024968278741,1.0,0.1603970202912968,0.034924020261263664
5,0.25,0.007500028988825439,1.0,0.16039880807556778,0.034924020261263664
6,0.30000000000000004,0.009000033824997073,1.0,0.16039978883565426,0.034924020261263664
7,0.35000000000000003,0.010500038987797377,1.0,0.16040037706621715,0.034924020261263664
8,0.4,0.01200004420939914,1.0,0.16040131954559386,0.034924020261263664
9,0.45,0.013500049576485394,1.0,0.16040164872072413,0.034924020261263664
10,0.5,0.015000054988438113,1.0,0.16040186840224768,0.034924020261263664
11,0.55,0.016500060487105166,1.0,0.16040202218199634,0.034924020261263664
12,0.6000000000000001,0.018000065919394737,1.0,0.16040213641007156,0.034924020261263664
13,0.65,0.01950007136883287,1.0,0.16040222231902296,0.034924020261263664
14,0.7000000000000001,0.02100007682896372,1.0,0.16040228828621023,0.034924020261263664
15,0.75,0.022500082295968903,1.0,0.16040233941886933,0.034924020261263664
16,0.8,0.02400008767847119,1.0,0.16040338965520776,0.034924020261263664
17,0.8500000000000001,0.025500092908722446,1.0,0.16040537890350318,0.034924020261263664
18,0.9,0.027000098363632208,1.0,0.1604054545710619,0.034924020261263664
19,0.9500000000000001,0.02850010336891634,1.0,0.1604079503270013,0.034924020261263664
20,1.0,0.030000108806587645,1.0,0.16040799714025328,0.034924020261263664
