step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.001500104793964046,1.0,0.15146611863400006,0.03225806451612903
2,0.1,0.0030000372111186127,1.0,0.15150029135517246,0.03225806451612903
3,0.15000000000000002,0.004500025946188902,1.0,0.15151068579998903,0.03225806451612903
4,0.2,0.006000025567541767,1.0,0.15151528139028192,0.03225806451612903
5,0.25,0.007500028753921077,1.0,0.1515174767768005,0.03225806451612903
6,0.30000000000000004,0.009000033109260471,1.0,0.15151868268864574,0.03225806451612903
7,0.35000000000000003,0.010500037930459359,1.0,0.15151940872015426,0.03225806451612903
8,0.4,0.012000043349067045,1.0,0.1515198773448423,0.03225806451612903
9,0.45,0.013500048335467724,1.0,0.15152019716709017,0.03225806451612903
10,0.5,0.015000053158369019,1.0,0.15152120705858801,0.03225806451612903
11,0.55,0.016500058369859304,1.0,0.15152143590944953,0.03225806451612903
12,0.6000000000000001,0.01800006360792053,1.0,0.15152159757628642,0.03225806451612903
13,0.65,0.019500068908341245,1.0,0.15152171712536283,0.03225806451612903
14,0.7000000000000001,0.021000074158618605,1.0,0.15152181090784747,0.03225806451612903
15,0.75,0.02250007941977646,1.0,0.151521884596233,0.03225806451612903
16,0.8,0.02400008468831865,1.0,0.1515219430629316,0.03225806451612903
17,0.8500000000000001,0.02550008996195095,1.0,0.15152199059806787,0.03225806451612903
18,0.9,0.027000095239157203,1.0,0.1515220297219172,0.03225806451612903
19,0.9500000000000001,0.02850010051894213,1.0,0.15152206226287238,0.03225806451612903
20,1.0,0.030000105800623192,1.0,0.1515220895780762,0.03225806451612903
