step,tau,max_u_inf,max_damage,mean_damage,frac_damage_ge_095
0,0.0,0.0,0.95,0.0012663289789389496,0.0013329778725673154
1,0.05,0.001500050721007462,1.0,0.171205403812363,0.03652359370834444
2,0.1,0.0030000323535431138,1.0,0.17122367105061906,0.03652359370834444
3,0.15000000000000002,0.004500023820511611,1.0,0.17123296789792952,0.03652359370834444
4,0.2,0.006000025607368416,1.0,0.17123657859615654,0.03652359370834444
5,0.25,0.007500029765842376,1.0,0.1712383403019195,0.03652359370834444
6,0.30000000000000004,0.00900003474936223,1.0,0.17123930597895776,0.03652359370834444
7,0.35000000000000003,0.010500040009614506,1.0,0.1712402495899793,0.03652359370834444
8,0.4,0.012000045439122097,1.0,0.1712407774721879,0.03652359370834444
9,0.45,0.013500050961483347,1.0,0.17124108433679475,0.03652359370834444
10,0.5,0.015000056527682729,1.0,0.17124129291692403,0.03652359370834444
11,0.55,0.01650006218034678,1.0,0.1712414404058846,0.03652359370834444
12,0.6000000000000001,0.018000067766239178,1.0,0.17124154960597907,0.03652359370834444
13,0.65,0.019500073369219096,1.0,0.17124163100348788,0.03652359370834444
14,0.7000000000000001,0.021000078929385203,1.0,0.17124228993001095,0.03652359370834444
15,0.75,0.022500084323279563,1.0,0.17124421831641365,0.03652359370834444
16,0.8,0.02400008992368452,1.0,0.17124436028534204,0.03652359370834444
17,0.8500000000000001,0.025500095126312954,1.0,0.17124655113058887,0.03652359370834444
18,0.9,0.027000100720943766,1.0,0.17124661403868144,0.03652359370834444
19,0.9500000000000001,0.02850010562606852,1.0,0.17124947311987873,0.03652359370834444
20,1.0,0.030000110291427948,1.0,0.17125255220663627,0.03652359370834444
